bin,packets,bytes
7030.0,1,342
7040.0,1,342
7050.0,11,1458
7060.0,1,99
7070.0,6,649
7080.0,202,47331
7090.0,41,13641
7100.0,31,4450
7110.0,188,68190
7120.0,20,1954
7130.0,781,586754
7140.0,16,1546
7150.0,5,558
7160.0,10,1309
7170.0,6,818
7180.0,1,342
7190.0,6,556
7200.0,1,86
7210.0,4,295
7220.0,3,244
7230.0,3,368
7250.0,10,1486
7260.0,3,482
7270.0,2,684
7280.0,4,586
7290.0,5,709
7300.0,1,342
7310.0,1,342
7320.0,5,384
7350.0,4,330
7370.0,49,19213
7380.0,56,6746
7390.0,21,2523
7400.0,3,450
7410.0,5,672
7420.0,1,342
7430.0,1,342
7440.0,38,12064
7450.0,2,149
7470.0,1,86
7480.0,3,244
7490.0,2,258
7500.0,2,428
7510.0,6,1270
7520.0,1,342
7530.0,2,428
7540.0,4,586
7550.0,3,566
7560.0,3,770
7580.0,4,298
7590.0,13,3082
7610.0,3,244
7620.0,1,86
7630.0,2,684
7640.0,5,928
7650.0,2,428
7660.0,1,342
7670.0,40,12000
7680.0,56,6391
7690.0,19,2343
7700.0,6,406
7710.0,1,86
7730.0,3,244
7740.0,1,86
7760.0,6,1270
7770.0,2,428
7780.0,2,684
7790.0,6,844
7800.0,2,428
7810.0,1,342
7820.0,4,586
7830.0,1,86
7850.0,3,244
7860.0,1,86
7880.0,3,244
7890.0,4,1112
7900.0,2,684
7910.0,4,586
7920.0,2,428
7930.0,1,342
7940.0,4,586
7950.0,2,428
7970.0,3,244
7980.0,45,4865
7990.0,20,2181
8000.0,5,352
8010.0,1,86
8020.0,4,1368
8030.0,4,586
8040.0,2,428
8050.0,1,342
8060.0,4,586
8070.0,35,11667
8080.0,4,269
8090.0,2,258
8100.0,5,384
8130.0,5,384
8140.0,2,684
8150.0,2,684
8160.0,5,672
8170.0,1,342
8180.0,1,342
8190.0,6,1014
8200.0,1,342
8220.0,4,330
8250.0,4,330
8270.0,2,684
8280.0,52,6332
8290.0,21,2523
8300.0,4,792
8310.0,5,672
8320.0,1,342
8330.0,1,342
8340.0,4,330
8370.0,4,330
8390.0,2,258
8400.0,7,1356
8410.0,2,684
8420.0,1,342
8430.0,5,672
8440.0,1,342
8450.0,1,342
8460.0,7,756
8470.0,2,84
8480.0,4,803
8490.0,13,2577
8520.0,4,330
8530.0,4,1368
8540.0,1,342
8550.0,5,672
8560.0,1,342
8570.0,1,342
8580.0,54,6169
8590.0,21,2235
8600.0,2,108
8610.0,4,330
8620.0,4,1776
8630.0,2,200
8640.0,4,330
8650.0,1,342
8660.0,3,1026
8670.0,139,79176
8680.0,1,342
8690.0,3,600
8700.0,5,672
8710.0,4,910
8730.0,1,86
8740.0,4,298
8760.0,1,86
8770.0,35,11293
8780.0,5,611
8790.0,4,1112
8800.0,4,586
8810.0,1,342
8820.0,2,428
8830.0,5,928
8840.0,1,342
8850.0,1,86
8860.0,3,244
8880.0,45,4865
8890.0,25,2533
8900.0,2,108
8910.0,3,770
8920.0,5,928
8930.0,1,342
8940.0,2,428
8950.0,5,928
8960.0,1,342
8970.0,2,428
8980.0,3,244
8990.0,2,258
9000.0,1,86
9010.0,3,244
9030.0,1,86
9040.0,6,1270
9050.0,1,342
9060.0,3,770
9070.0,4,586
9080.0,1,342
9090.0,2,428
9100.0,4,586
9110.0,4,585
9120.0,1,86
9130.0,3,244
9150.0,1,86
9160.0,3,244
9170.0,3,1026
9180.0,47,5549
9190.0,22,2587
9200.0,3,450
9210.0,2,428
9220.0,5,928
9240.0,1,86
9250.0,3,244
9270.0,1,86
9280.0,4,310
9290.0,4,942
9300.0,3,770
9310.0,4,586
9320.0,1,342
9330.0,2,428
9340.0,3,779
9350.0,3,491
9360.0,1,86
9380.0,3,244
9390.0,7,1584
9400.0,6,1498
9410.0,3,244
9420.0,3,770
9430.0,2,684
9440.0,4,586
9450.0,3,770
9460.0,1,342
9470.0,4,586
9480.0,50,5583
9490.0,20,2181
9500.0,5,352
9510.0,1,86
9530.0,3,244
9540.0,1,86
9550.0,3,1026
9560.0,4,586
9570.0,3,770
9580.0,1,342
9590.0,6,844
9600.0,2,428
9610.0,1,342
9620.0,3,244
9630.0,1,86
9650.0,5,488
9660.0,275,146587
9670.0,39,12778
9680.0,148,44075
9690.0,2,428
9700.0,1,342
9710.0,7,1173
9720.0,3,482
9730.0,2,684
9740.0,4,298
9750.0,1,86
9770.0,4,298
9780.0,48,5075
9790.0,18,2001
9800.0,6,694
9810.0,4,1112
9820.0,1,342
9830.0,4,586
9840.0,2,428
9850.0,2,684
9860.0,4,586
9870.0,1,86
9890.0,5,502
9900.0,1,86
9920.0,3,244
9930.0,3,770
9940.0,2,684
9950.0,4,586
9960.0,2,428
9970.0,33,11543
9980.0,8,855
9990.0,2,428
10010.0,3,244
10020.0,1,86
10040.0,4,298
10050.0,1,86
10060.0,3,1026
10070.0,4,586
10080.0,48,5746
10090.0,22,2865
10100.0,6,694
10110.0,2,428
10120.0,1,342
10130.0,3,244
10140.0,1,86
10160.0,3,244
10170.0,4,581
10190.0,8,1528
10200.0,3,770
10210.0,1,342
10220.0,4,586
10230.0,2,428
10240.0,1,342
10250.0,4,586
10260.0,1,86
10280.0,3,244
10290.0,16,3603
10300.0,3,749
10310.0,4,586
10320.0,4,1112
10330.0,1,342
10340.0,4,586
10350.0,2,428
10360.0,2,684
10370.0,4,586
10380.0,50,5331
10390.0,10,1013
10400.0,5,352
10410.0,1,86
10430.0,3,244
10440.0,3,770
10450.0,2,684
10460.0,5,651
10470.0,34,11285
10480.0,6,953
10490.0,7,898
10500.0,2,428
10520.0,3,244
10530.0,1,86
10550.0,3,244
10560.0,1,86
10570.0,3,1026
10580.0,4,586
10590.0,3,770
10600.0,1,342
10610.0,4,586
10620.0,2,428
10630.0,1,342
10640.0,3,244
10650.0,1,86
10670.0,3,244
10680.0,46,4955
10690.0,10,1168
10700.0,9,1720
10710.0,2,428
10720.0,1,342
10730.0,4,586
10740.0,2,428
10750.0,1,342
10760.0,4,586
10770.0,1,86
10790.0,9,1211
10800.0,9,594
10820.0,4,586
10830.0,4,1112
10840.0,1,342
10850.0,4,586
10860.0,2,428
10870.0,39,12408
10880.0,8,855
10890.0,2,428
10910.0,3,244
10920.0,1,86
10940.0,3,244
10950.0,2,428
10960.0,3,1026
10970.0,4,586
10980.0,48,5387
10990.0,1,342
11000.0,7,1036
11010.0,2,428
11030.0,3,244
11040.0,1,86
11060.0,3,244
11070.0,1,86
11080.0,2,684
11090.0,7,1186
11100.0,2,428
11110.0,1,342
11120.0,5,928
11130.0,2,428
11140.0,1,342
11150.0,3,244
11160.0,1,86
11170.0,36,11190
11180.0,7,513
11190.0,13,3082
11210.0,6,1270
11220.0,2,428
11230.0,2,684
11240.0,4,586
11250.0,2,428
11260.0,1,342
11270.0,4,586
11280.0,51,5780
11290.0,20,2181
11300.0,5,352
11310.0,1,86
11330.0,3,244
11340.0,6,1338
11350.0,2,684
11360.0,1,342
11370.0,6,726
11380.0,1,342
11390.0,3,600
11400.0,5,672
11430.0,4,330
11460.0,4,330
11470.0,4,1368
11480.0,1,342
11490.0,5,672
11500.0,1,342
11510.0,1,342
11520.0,6,1014
11550.0,4,330
11570.0,35,11072
11580.0,52,5378
11590.0,22,2865
11600.0,4,792
11610.0,5,672
11620.0,1,342
11630.0,2,684
